Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
2i_87	ERS471083	2i	single_cell	2i_87	Teichmann_2i_2_87_	ERX488259	ERR523195
serum1_10	ERS471003	serum	single_cell	serum1_10	Teichmann_serum1_10_	ERX488179	ERR523196
2i_63	ERS470931	2i	single_cell	2i_63	Teichmann_2i_2_63_	ERX488107	ERR523197
a2i_19	ERS470896	a2i	single_cell	a2i_19	Teichmann_a2i_2_19_	ERX488072	ERR523198
2i_26	ERS471025	2i	single_cell	2i_26	Teichmann_2i_2_26_	ERX488201	ERR523199
serum1_12	ERS471160	serum	single_cell	serum1_12	Teichmann_serum1_12_	ERX488336	ERR523200
a2i_24	ERS471071	a2i	single_cell	a2i_24	Teichmann_a2i_2_24_	ERX488247	ERR523201
serum2_81	ERS470914	serum	single_cell	serum2_81	Teichmann_serum2_81_	ERX488090	ERR523202
2i_94	ERS471094	2i	single_cell	2i_94	Teichmann_2i_2_94_	ERX488270	ERR523203
2i_31	ERS471134	2i	single_cell	2i_31	Teichmann_2i_2_31_	ERX488310	ERR523204
serum1_80	ERS471218	serum	single_cell	serum1_80	Teichmann_serum1_80_	ERX488394	ERR523205
2i_57	ERS471034	2i	single_cell	2i_57	Teichmann_2i_2_57_	ERX488210	ERR523206
